id,URL,status,error
230,http://dh.tcd.ie/letters1916/,404,"Cannot connect to host dh.tcd.ie:443 ssl:True [SSLCertVerificationError: (1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')]"
231,http://www.ittig.cnr.it,200,
232,http://wjc.bodleian.ox.ac.uk,200,
233,https://romaninscriptionsofbritain.org/,200,
234,http://ta.sandrart.net/de/,200,
235,https://acdh.oeaw.ac.at/abacus/,200,
236,http://darwin-online.org.uk/Variorum/,200,
237,https://www2.hf.uio.no/damos/,200,
238,http://www.vnsbrieven.org/VNS/,200,
239,http://edities.kantl.be/streuvels/,200,
240,http://sauer-seuffert.onb.ac.at/,200,
241,http://www1.unipa.it/paolo.monella/ursus/transcription.html,404,
242,http://codyarchive.org/,200,
243,http://earlymusictheory.org/Tinctoris/,200,
244,http://digitalathenaeus.org/,404,Cannot connect to host digitalathenaeus.org:80 ssl:default [No address associated with hostname]
245,http://guillelmus.uni-koeln.de/,200,
246,http://musilonline.at/,200,
247,http://www.univie.ac.at/tocharian/,200,
248,http://www.berliner-intellektuelle.eu/,200,
249,http://www.bdpn.unam.mx/,404,Cannot connect to host www.bdpn.unam.mx:80 ssl:default [Name or service not known]
250,http://www.doaks.org/resources/bliss-tyler-correspondence/,200,
251,https://edition-humboldt.de/,200,
252,http://vespasianodabisticciletters.unibo.it,200,
253,http://erdmuthe.thulb.uni-jena.de,200,
254,https://digital.janeaddams.ramapo.edu/,200,
255,http://www.penseesdepascal.fr,200,
256,http://gams.uni-graz.at/horvath-edition,200,
257,http://library.trinity.edu/lament/index.html,200,
258,http://beethovens-werkstatt.de/,200,
259,http://charles-harpur.org/,200,
260,http://damaboba.unibo.it/,200,
261,http://www.cartas-de-ultramar.net/,200,
262,http://magyar-irodalom.elte.hu/gepesk/kd/edesanna/,200,
263,http://digiphil.hu/context:edesanna,200,
264,http://digiphil.hu/context:alomeghal,200,
265,http://digiphil.hu/context:aranysarkany,200,
266,http://digiphil.hu/context:estikornel,200,
267,http://www.tankonyvtar.hu/hu/tartalom/tkt/fanchali-job-kodex/adatok.html,404,Cannot connect to host regi.tankonyvtar.hu:443 ssl:default [Name or service not known]
268,http://magyar-irodalom.elte.hu/totnes/eotvos/,200,
269,http://magyar-irodalom.elte.hu/ja/,200,
270,http://textus.elte.hu/ja/,200,
271,http://estoria.bham.ac.uk/,200,
272,http://www.tankonyvtar.hu/en/tartalom/tkt/argirus-historiaja/adatok.html,404,
273,http://magyar-irodalom.elte.hu/gepesk/wathay/,200,
274,http://magyar-irodalom.elte.hu/gepesk/zrinyi/,200,
275,http://magyar-irodalom.elte.hu/gepesk/rimay/,200,
276,http://www.tankonyvtar.hu/hu/tartalom/tkt/rimay-janos-ifjukori/,404,Cannot connect to host regi.tankonyvtar.hu:443 ssl:default [Name or service not known]
277,http://magyar-irodalom.elte.hu/effectus/,200,
278,http://sermones.elte.hu/erdy/,200,
279,http://sermones.elte.hu/exemplumadatbazis/,200,
280,http://deba.unideb.hu/deba/kazinczy_muvei/,200,
281,http://deba.unideb.hu/deba/csokonai_muvei/,200,
282,http://deba.unideb.hu/deba/szerdahely/,200,
283,http://deba.unideb.hu/deba/gyongyossi/,200,
284,http://deba.unideb.hu/deba/berzsenyi/,200,
285,http://deba.unideb.hu/deba/levelezes/,200,
286,http://deba.unideb.hu/deba/raday/,200,
